pollster,id,polls,aapor,banned,ppm,grade,bias,called,outMOE,avgErr,advPM,nBias,rawBias,house
Moore Information Group,217,18,no,no,0.492,B/C,-1.5558,0.6389,0.2222,6.6906,0.5679,18,-3.9294,-1.5558
Fabrizio Lee & Associates/Impact Research,694,1,no,no,0.4955,B/C,0.0312,1,0,0.68,-3.0076,1,0.68,0.0312
Ethridge & Associates LLC,89,6,no,no,0.4956,B/C,-0.0425,0.8333,0,2.6667,-2.5592,6,-0.7133,-0.0425
CWS Research,697,1,no,no,0.4962,B/C,-0.0046,1,0,0.1,-3.0678,1,-0.1,-0.0046
MFour Mobile Research,177,2,no,no,0.4999,B/C,-0.1258,1,0.5,2.83,-4.0148,2,-2.83,-0.1258
The Tyson Group,334,14,no,no,0.5001,B/C,0.0853,0.8929,0.1429,4.5243,0.2491,12,0.4617,0.0853
Big Ten,31,10,no,no,0.5016,B/C,0.6276,1,0.2,4.687,0.1843,10,4.235,0.6276
Montana State University Billings,216,11,no,no,0.5038,B/C,1.6173,0.5909,0.3636,6.64,0.028,11,6.2345,1.6173
Slingshot Strategies,451,2,no,no,0.506,B/C,0.351,1,0.5,4.845,-0.5649,2,4.445,0.351
Market Decisions Research,184,4,no,no,0.5062,B/C,-0.0527,1,0.25,4.6675,-1.9293,4,-0.9525,-0.0527
Big Data Poll,251,6,no,yes,0.5079,F,-0.3428,0.5,0.3333,3.865,0.4661,5,-2.278,-0.3428
University of Massachusetts (Amherst),354,11,no,no,0.5116,B/C,-0.1168,1,0.3636,6.5473,-0.2013,2,-6.115,-0.1168
Park Street Strategies,534,1,no,no,0.514,B/C,,1,0,2.43,-3.1369,0,,
Data Targeting,406,1,no,no,0.514,B/C,-0.1596,1,0,4,-3.1269,1,-4,-0.1596
NewsNation,696,1,no,no,0.5141,B/C,0.0665,1,0,1.45,-2.0626,1,1.45,0.0665
American Viewpoint,10,9,no,no,0.5142,B/C,-0.5359,0.6111,0.1111,5.5444,0.5204,8,-3.5575,-0.5359
Blumenthal Research Daily,447,2,no,yes,0.5144,F,-0.1204,1,0,2.465,-2.3203,2,-1.795,-0.1204
Magellan Strategies,179,18,no,no,0.5147,B/C,-0.3835,0.9444,0.3333,6.2839,0.7445,11,-1.7609,-0.3835
Braun Research,33,6,no,no,0.52,B/C,0.9093,1,0.5,6.5383,0.0625,6,6.5383,0.9093
Virginia Commonwealth University,370,8,no,no,0.5224,B/C,0.0531,0.875,0.125,4.5025,-0.2779,8,0.255,0.0531
Bendixen & Amandi International,29,2,no,no,0.5234,B/C,0.0875,1,0,3.025,-0.8507,2,1.495,0.0875
Strategic Research Associates,462,5,no,no,0.5272,B/C,0.298,0.8,0.2,5.036,0.0187,5,1.956,0.298
Global Strategy Group/National Research (Philadelphia Inquirer),119,4,no,no,0.5282,B/C,-0.2279,1,0.25,2.9825,-2.1246,4,-2.6775,-0.2279
Mason Strategies,464,1,no,no,0.5301,B/C,0.0656,1,0,1.89,-4.9673,1,1.89,0.0656
1892 Polling,461,1,no,no,0.5301,B/C,-0.0208,1,0,0.6,-3.2068,1,-0.6,-0.0208
Rethink Priorities,672,2,no,yes,0.5313,F,0.2916,1,0.5,3.8,-0.2846,2,3.8,0.2916
Pacific Market Research,459,2,no,no,0.5323,B/C,-0.5017,1,0.5,7.48,-0.4693,2,-7.48,-0.5017
Targoz Market Research,454,26,yes,no,0.5328,B-,1.3138,0.6923,0.3846,5.8642,1.3928,26,2.4558,1.3138
Scripps Howard,303,5,no,no,0.5364,B/C,-0.1064,1,0.4,4.79,-1.467,5,-2.154,-0.1064
The Polling Company Inc./National Research Inc.,644,1,no,no,0.5374,B/C,-0.086,0,0,2.66,-4.362,1,-2.66,-0.086
CSP Polling,39,1,no,yes,0.5374,F,0.0828,1,0,2.56,-2.9885,1,2.56,0.0828
Forward Strategies,102,2,no,no,0.5379,B/C,0.0505,1,0,1.305,-2.3864,2,1.305,0.0505
National Public Affairs,768,1,no,no,0.5379,B/C,0.0105,1,0,0.2,-2.4065,1,0.2,0.0105
Personal Marketing Research,252,3,no,no,0.5382,B/C,,0.6667,0.3333,5.4533,-2.2401,0,,
University of Houston,351,1,no,no,0.5442,B/C,,1,0,2.19,-7.9909,0,,
Targeted Persuasion,579,1,no,no,0.5442,B/C,,1,0,0.94,-5.9563,0,,
Singularis Group,306,1,no,no,0.5442,B/C,-0.0241,1,0,0.8,-3.4406,1,-0.8,-0.0241
IMGE Insights,145,2,no,no,0.5455,B/C,-0.4029,1,0.5,6.43,-0.3698,2,-6.43,-0.4029
KG Polling,502,2,no,yes,0.5471,F,0.1455,1,0,2.17,-1.823,2,2.17,0.1455
"Drake Research & Strategy, Inc.",329,8,no,no,0.5481,B/C,-0.0064,0.375,0.25,6.7663,-0.1485,8,-0.0838,-0.0064
Purple Strategies,265,4,no,no,0.551,B/C,-0.2568,0.875,0,3.0175,-1.2087,4,-3.0175,-0.2568
University of Wisconsin-Milwaukee,366,3,no,no,0.5513,B/C,-0.0451,1,0,1.62,-6.0141,3,-1.62,-0.0451
Jim Meader (KELOLAND-TV),159,4,no,no,0.553,B/C,0.1914,1,0.25,4.575,-0.9232,4,4.575,0.1914
Columbus Dispatch,57,22,no,no,0.5543,B/C,0.7984,0.9318,0.4545,5.3982,0.8246,17,2.9653,0.7984
Washington College,735,1,no,no,0.5547,B/C,0.2302,1,0,5.02,-0.7081,1,5.02,0.2302
Richmond Times-Dispatch,288,4,no,no,0.555,B/C,0.1222,1,0,3.3225,-1.0433,4,2.9225,0.1222
Behavior Research Center (Rocky Mountain Poll),27,7,no,no,0.5559,B/C,0.3354,1,0.2857,5.2814,-0.4894,6,5.2983,0.3354
University of Southern California,343,13,yes,no,0.5559,B/C,1.2671,0.8462,0.7692,5.6138,2.1513,13,3.7246,1.2671
Mercyhurst University,422,1,no,no,0.5565,B/C,-0.0194,1,0,0.74,-5.8513,1,-0.74,-0.0194
Odney,524,1,no,no,0.5565,B/C,0.0547,1,0,2.09,-5.5941,1,2.09,0.0547
Montgomery Research,877,1,no,no,0.557,B/C,-0.2421,1,0,4.6,-0.4318,1,-4.6,-0.2421
Remington Research Group,279,55,no,no,0.5573,B-,1.2821,0.7273,0.4,5.2135,0.7417,54,1.9096,1.2821
Thirty-Ninth Street Strategies,460,1,no,no,0.5575,B/C,-0.0704,0,0,2.03,-3.7914,1,-2.03,-0.0704
University of Tennessee,362,2,no,no,0.5591,B/C,-0.0693,1,0,2.73,-4.7506,2,-2.73,-0.0693
Diamond State Consulting Group,78,1,no,no,0.56,B/C,0.099,1,0,3.78,-2.2858,1,3.78,0.099
GreatBlue Research,748,2,no,no,0.5608,B/C,-0.0228,0.5,0,5.245,0.038,2,-0.315,-0.0228
Market Solutions Group,188,4,no,no,0.5634,B/C,-0.0027,1,0.25,4.3675,-0.9248,2,-0.125,-0.0027
Frank N. Magid Associates Inc.,105,5,no,no,0.5645,B/C,0.3368,0.8,0.4,6.322,-0.4821,5,6.322,0.3368
Reconnect Research/Probolsky Research,651,2,no,no,0.5647,B/C,-0.1266,0.5,0,1.65,-1.8633,2,-1.65,-0.1266
Myers Research & Strategic Services,319,2,no,no,0.566,B/C,0.1057,0.5,0,4.185,-1.7363,2,4.185,0.1057
University of New Hampshire,357,150,yes,no,0.5665,B-,2.0455,0.87,0.2733,5.9525,0.5786,132,2.4963,2.0455
Garin-Hart-Yang/Global Strategy Group,412,1,no,no,0.5673,B/C,-0.02,1,0,0.88,-3.0278,1,-0.88,-0.02
Valley Research,368,8,no,no,0.5676,B/C,0.3192,0.875,0.125,5.0562,0.1592,8,3.5688,0.3192
Quest Research Group,285,5,no,no,0.568,B/C,-0.1008,1,0.2,6.07,-0.4009,4,-1.545,-0.1008
West Chester University,377,7,no,no,0.5688,B/C,0.0817,1,0.1429,5.1957,-0.5234,7,0.9871,0.0817
Manhattanville College,181,3,no,no,0.5695,B/C,-0.129,1,0.3333,6.2467,-1.524,2,-8.19,-0.129
The Polling Company Inc.,337,7,no,no,0.5698,B/C,-0.8467,0.7143,0.5714,6.2643,0.7144,7,-4.8443,-0.8467
DHM Research,76,14,no,no,0.5701,B/C,-0.0728,0.8571,0.0714,4.4043,0.2352,12,-0.375,-0.0728
The Citadel,832,3,no,no,0.5719,B/C,0.3,1,0.6667,6.2433,0.5071,2,3,0.3
Franklin Pierce University,107,17,no,no,0.5721,B/C,0.5828,0.8529,0.5294,6.7276,0.6178,12,4.4775,0.5828
Seven Letter Insight,661,1,no,no,0.5735,B/C,0.116,1,0,2.53,-0.4739,1,2.53,0.116
JMC Analytics/Bold Blue Campaigns,503,5,no,no,0.574,B/C,-0.8421,0.8,0.2,6.716,0.6853,5,-5.528,-0.8421
Baruch College Survey Research,22,2,no,no,0.5753,B/C,,1,0,5.49,0.0363,0,,
Crantford Research,62,1,no,no,0.5766,B/C,0.0489,1,0,2.48,-3.7438,1,2.48,0.0489
Rivercity Polling,291,1,no,no,0.5766,B/C,-0.1315,1,0,6.67,-3.3623,1,-6.67,-0.1315
Lincoln Institute,170,2,no,no,0.5785,B/C,-0.0789,0.75,0,4.13,-3.521,2,-4.13,-0.0789
Centre College,47,1,no,no,0.5812,B/C,0.1158,1,0,3.84,-1.1236,1,3.84,0.1158
Victory Research,437,11,no,no,0.5816,B/C,0.2568,0.9091,0.3636,6.01,0.8728,10,1.0,0.2568
Florida International University/Univision,98,1,no,no,0.5847,B/C,0.0308,1,0,1.8,-7.3139,1,1.8,0.0308
Penta,576,1,no,no,0.5854,B/C,-0.1307,1,0,5.75,-2.5891,1,-5.75,-0.1307
Becker Institute,26,5,no,no,0.5896,B/C,0.2688,0.8,0.4,7.658,0.1628,5,5.242,0.2688
War Room Logistics,374,1,no,no,0.5906,B/C,,1,1,4.47,-0.972,0,,
Zimmerman & Associates/Marketing Intelligence,394,3,no,no,0.591,B/C,0.1471,1,0,4.6767,-0.6455,3,3.23,0.1471
Cromer Group,65,1,no,no,0.5969,B/C,-0.0583,1,0,3.93,-1.6527,1,-3.93,-0.0583
Canisius College,43,1,no,no,0.5979,B/C,,1,0,0.05,-6.4446,0,,
Central Surveys Inc.,46,1,no,no,0.5979,B/C,0.0215,0,0,1.67,-2.8839,1,1.67,0.0215
Morningside College,536,1,no,no,0.5991,B/C,,0,0,6.43,-0.9509,0,,
OurProgress (The Progress Campaign),561,1,no,yes,0.5998,F,,1,1,9.59,0.1507,0,,
BIGresearch,19,1,no,no,0.6007,B/C,-0.0226,1,0,1.89,-2.734,1,-1.89,-0.0226
Wood Communications Group,388,1,no,no,0.6007,B/C,0.0166,1,0,0.84,-4.0604,1,0.84,0.0166
Escalent,189,1,no,no,0.6033,B/C,-0.0125,1,0,1.12,-4.7231,1,-1.12,-0.0125
Cooper & Secrest,60,1,no,no,0.6033,B/C,-0.0294,0,0,2.64,-4.2008,1,-2.64,-0.0294
Analytical Group,11,1,no,no,0.606,B/C,0.0449,1,0,4.03,-1.7549,1,4.03,0.0449
Minneapolis Star Tribune,315,14,no,no,0.6061,B/C,0.6161,0.5714,0.4286,5.3336,0.89,12,4.4158,0.6161
Rossman Group,294,1,no,no,0.6075,B/C,0.083,1,0,4.21,-0.4317,1,4.21,0.083
Dynamics Marketing,83,1,no,no,0.6079,B/C,0.0291,1,0,3.02,-5.4982,1,3.02,0.0291
Vox Populi Communications,529,1,no,no,0.6079,B/C,,1,0,3.52,-3.7589,0,,
Diversified Research Inc,80,1,no,no,0.6079,B/C,-0.0481,1,0,4.99,-2.7627,1,-4.99,-0.0481
QEV Analytics,266,1,no,no,0.611,B/C,,0,0,6.37,-2.2587,0,,
Wick Communications,381,1,no,no,0.6118,B/C,0.0419,1,0,2.83,-1.8422,1,2.83,0.0419
"Lauer, Lalley, Victoria",168,1,no,no,0.6119,B/C,-0.0138,1,0,1.65,-5.0089,1,-1.65,-0.0138
Southeastern Louisiana University,309,8,no,no,0.6129,B/C,0.074,0.875,0.375,6.5738,0.8614,8,0.7212,0.074
Market Trends Pacific,190,1,no,no,0.6136,B/C,0.0506,0.5,0,4.55,-1.066,1,4.55,0.0506
CallFire,42,4,no,no,0.6144,B/C,-0.336,0.75,0,3.9475,-0.1531,4,-3.9475,-0.336
HighGround Inc.,416,6,no,no,0.6153,B/C,-0.0945,0.6667,0,4.39,-0.767,6,-0.4233,-0.0945
Triumph Campaigns,339,1,no,no,0.6166,B/C,-0.1186,1,0,4.22,0.3487,1,-4.22,-0.1186
Neighborhood Research and Media,227,3,no,no,0.6179,B/C,-0.0449,0.3333,0.6667,6.9733,0.868,1,-3.42,-0.0449
Paradigm,881,2,no,no,0.6191,B/C,0.365,0,0,3.65,-0.6738,2,3.65,0.365
20/20 Insight,1,8,no,no,0.6211,B/C,0.4068,0.625,0.25,10.15,1.0116,5,2.938,0.4068
Victoria Research & Consulting,369,1,no,no,0.6222,B/C,0.1035,0.5,0,8.06,-0.1099,1,8.06,0.1035
Jorge BenÃ­tez,600,4,no,no,0.6251,B/C,,0.5,0,5.13,1.0147,0,,
Strategy Research,322,2,no,no,0.6254,B/C,-0.386,0,1,6.16,0.9059,2,-6.16,-0.386
Iona University,152,1,no,no,0.6257,B/C,0.086,1,0,4.36,-1.7691,1,4.36,0.086
ASA Marketing Group,5,1,no,no,0.6262,B/C,0.0821,1,0,5.54,0.3239,1,5.54,0.0821
Dartmouth College,72,3,no,no,0.6269,B/C,,1,0.3333,9.2967,0.7182,0,,
African American Research Collaborative,733,1,no,no,0.6275,B/C,0.1229,0.5,1,2.68,0.8801,1,2.68,0.1229
New Mexico State University,230,1,no,no,0.628,B/C,,0,0,7.15,0.5323,0,,
NRECA Market Research,223,1,no,no,0.6283,B/C,0.0523,1,0,6.27,-0.0315,1,6.27,0.0523
TargetSmart,332,3,no,no,0.6288,B/C,0.455,0.6667,0.3333,5.3333,0.7945,3,5.3333,0.455
Probolsky Research,259,3,no,no,0.6291,B/C,-0.5265,0.6667,0.3333,6.96,1.0082,2,-9.13,-0.5265
Clarus Research Group,53,3,no,no,0.6306,B/C,0.2322,1,0.3333,6.78,0.9772,3,4.06,0.2322
Beacon Research,545,5,no,no,0.6324,B/C,,1,0.6,6.798,1.0759,0,,
Old Dominion University,238,1,no,no,0.6352,B/C,0.109,1,0,4.47,-1.7844,1,4.47,0.109
West Virginia Research Center,378,2,no,no,0.6356,B/C,0.1232,0.5,0.5,6.45,0.9701,2,6.45,0.1232
Deltapoll,883,1,no,no,0.636,B/C,0.2368,0,1,4.5,1.0555,1,4.5,0.2368
Rice University,286,2,no,no,0.6366,B/C,0.1301,1,0,5.91,-0.2452,2,5.91,0.1301
Alloy Analytics,734,1,no,no,0.6371,B/C,-0.2141,0,0,4.67,0.0337,1,-4.67,-0.2141
Illinois Wesleyan University,147,3,no,no,0.6377,B/C,-0.2492,1,0.3333,8.1733,0.8516,3,-8.1733,-0.2492
Multi-Quest International,220,4,no,no,0.6385,B/C,-0.0033,0.75,0.25,5.3925,0.5454,3,-0.0433,-0.0033
Independent Market Research,148,2,no,no,0.6392,B/C,0.0879,1,0.5,5.755,0.9648,2,5.305,0.0879
Dixie Strategies,81,11,no,no,0.6395,B/C,-0.8973,0.9545,0.5455,6.5918,1.1102,8,-4.0213,-0.8973
Aspen Media & Market Research,17,3,no,no,0.6427,B/C,-0.0039,1,0.6667,7.4367,1.2174,3,-0.09,-0.0039
Marketing Research Institute,192,1,no,no,0.6437,B/C,-0.0824,0,1,7.4,1.6361,1,-7.4,-0.0824
The Florida Poll,99,5,no,no,0.6439,B/C,0.2061,0.6,0,4.614,0.6244,5,3.074,0.2061
Dynata,283,2,no,no,0.6449,B/C,,1,1,9.37,1.2254,0,,
Merrill Poll,206,2,no,no,0.645,B/C,,1,0.5,8.72,1.2267,0,,
SmithJohnson Opinion Research,367,1,no,no,0.6465,B/C,-0.1457,1,0,8.52,1.6099,1,-8.52,-0.1457
Global Strategy Group/GBAO (Navigator Research),413,4,no,no,0.647,B/C,0.8239,0.5,0,5.17,0.46,4,5.17,0.8239
Harper Polling/Clarity Campaign Labs,513,1,no,no,0.651,B/C,0.2601,0,0,6.99,1.4574,1,6.99,0.2601
TMR Research,328,2,no,no,0.6548,B/C,0.1304,0,0.5,7.875,2.1315,2,7.875,0.1304
CrossTarget,66,2,no,no,0.6551,B/C,-0.2989,1,0.5,7.73,1.551,2,-7.73,-0.2989
Hellenthal & Associates,137,5,no,no,0.6565,B/C,0.2895,0.4,0.4,8.066,1.2772,3,4.3,0.2895
Howey Politics/DePauw University,142,7,no,no,0.6601,B/C,0.0654,0.5714,0.2857,6.7429,1.2826,6,0.58,0.0654
A&A Research,2,1,no,no,0.6607,B/C,-0.1117,0,1,10.04,3.1621,1,-10.04,-0.1117
Decision Forecasting,77,3,no,no,0.6616,B/C,-0.0401,1,0.6667,8.0933,1.4934,3,-1.4133,-0.0401
Premise,709,1,no,no,0.6616,B/C,0.2146,0,0,4.68,1.6238,1,4.68,0.2146
Feldman Group,93,2,no,no,0.6627,B/C,0.1553,0.5,0.5,6.68,-0.225,2,4.12,0.1553
Data for Progress,522,114,no,no,0.6653,C+,1.5929,0.7588,0.3684,5.7976,0.5553,83,2.0022,1.5929
American Pulse Research & Polling,836,2,no,no,0.6697,B/C,0.405,0,0,4.05,0.2885,2,4.05,0.405
"California State University, Bakersfield",41,1,no,no,0.6699,B/C,-0.0951,0,1,9.86,4.4348,1,-9.86,-0.0951
Southern Opinion Research,311,2,no,no,0.6708,B/C,0.0146,1,0.5,8.5,2.4042,2,0.88,0.0146
Sky Research,665,1,no,no,0.671,B/C,-0.2834,0,1,8.76,2.131,1,-8.76,-0.2834
University of Nevada Las Vegas,356,1,no,no,0.6711,B/C,,1,1,8.67,2.5699,0,,
St. Pete Polls,314,31,no,no,0.6729,C+,0.6874,0.6129,0.4194,5.5184,1.0847,30,1.2753,0.6874
Detroit Free Press,663,1,no,no,0.673,B/C,0.0999,1,1,8.98,2.2693,1,8.98,0.0999
University of Illinois at Chicago,352,1,no,no,0.6738,B/C,-0.1176,1,1,14.09,5.4124,1,-14.09,-0.1176
Southern Research Group,649,1,no,no,0.6751,B/C,0.093,0,1,7.78,4.2253,1,7.78,0.093
Great Lakes Strategies Group,125,1,no,no,0.6803,B/C,-0.1485,0,1,7.53,3.2576,1,-7.53,-0.1485
Swayable,543,89,yes,no,0.6807,C+,3.7963,0.8876,0.2472,7.2489,0.903,68,5.1397,3.7963
University of North Carolina,359,1,no,no,0.6809,B/C,0.1554,0,1,12.1,4.4581,1,12.1,0.1554
Tulsa Surveys,341,1,no,no,0.6815,B/C,-0.0994,1,1,11.9,6.344,1,-11.9,-0.0994
Public Strategies Inc.,264,6,no,no,0.6818,B/C,,1,0.3333,7.8933,1.5698,0,,
Abacus Associates,6,2,no,no,0.6819,B/C,0.1254,0.5,0.5,8.06,2.3772,2,3.62,0.1254
MarketAide Services Inc.,191,1,no,no,0.6825,B/C,0.1249,1,1,11.22,5.1217,1,11.22,0.1249
Kimball Political Consulting,163,6,no,no,0.6838,B/C,-0.7722,0.8333,0.5,6.3067,1.4791,6,-6.3067,-0.7722
Liberty Opinion Research,169,1,no,no,0.6839,B/C,,1,1,6.08,2.1168,0,,
MarblePort,182,2,no,no,0.684,B/C,-0.3037,1,1,5.555,1.9495,2,-5.555,-0.3037
Opinion Consultants,241,2,no,no,0.6865,B/C,-0.1932,1,0.5,6.615,0.9859,2,-6.615,-0.1932
Forman Center,100,2,no,no,0.6881,B/C,0.1822,1,0.5,11.005,4.1388,2,11.005,0.1822
SocialSphere,307,2,no,no,0.6884,B/C,-0.3133,1,0,6.14,2.0948,2,-6.14,-0.3133
TeleResearch Corporation,335,1,no,no,0.6894,B/C,,1,1,8.88,4.1201,0,,
Hill Research Consultants,140,6,no,no,0.6896,B/C,-0.1379,0.6667,0.3333,5.9667,1.4555,5,-3.702,-0.1379
Arthur J. Finkelstein & Associates,16,1,no,no,0.6899,B/C,-0.1521,0,1,13.67,5.786,1,-13.67,-0.1521
Bannon Communications Research,21,2,no,no,0.6904,B/C,0.2476,1,0.5,10.395,3.3119,2,10.395,0.2476
Hays Research Group,136,9,no,no,0.6911,B/C,0.7376,0.7778,0.4444,7.94,1.4806,5,10.54,0.7376
"Normington, Petts & Associates",232,12,no,no,0.6922,B/C,0.6904,0.5833,0.5,7.5533,1.2622,12,3.2667,0.6904
SMS Research & Marketing Services,296,1,no,no,0.6934,B/C,-0.1252,0,1,9.75,2.5536,1,-9.75,-0.1252
Patinkin Research Strategies,490,4,no,no,0.6934,B/C,0.7606,1,0,4.9825,1.1898,4,4.9825,0.7606
Baselice & Associates,23,2,no,no,0.6952,B/C,0.2292,1,0.5,10.03,3.4898,2,10.03,0.2292
GaPundit.com,111,2,no,no,0.696,B/C,0.4213,0.25,1,8.255,2.244,2,8.255,0.4213
Zata3,392,2,no,no,0.6971,B/C,-0.1528,1,0.5,10.17,2.638,2,-3.95,-0.1528
Castleton University,45,3,no,no,0.698,B/C,,1,0.3333,9.95,1.8575,0,,
Glover Park Group,120,1,no,no,0.702,B/C,-0.2582,0,1,11.36,3.9299,1,-11.36,-0.2582
Ed Renwick/Loyola University New Orleans,85,10,no,no,0.7083,B/C,0.6952,0.8,0.4,7.854,1.6671,9,6.1733,0.6952
Hoffman Research Group,141,3,no,no,0.711,B/C,-0.5544,0.6667,0,5.34,0.3495,3,-5.34,-0.5544
A2 Insights,9051,2,no,no,0.713,B/C,-0.8943,1,1,8.38,0.8699,2,-8.38,-0.8943
Auburn University,588,2,no,no,0.7157,B/C,0.6078,1,0.5,7.92,2.1194,2,7.92,0.6078
LIT Data,884,4,no,no,0.7161,B/C,,1,0.5,6.9125,1.5343,0,,
Jeffrey Stonecash,158,1,no,no,0.7184,B/C,-0.1693,1,1,11.42,6.5391,1,-11.42,-0.1693
Lycoming College Polling Institute,176,3,no,no,0.7203,B/C,0.3676,0.6667,0.3333,7.2667,1.5794,3,7.2667,0.3676
PSI,248,3,no,no,0.7232,B/C,-0.032,0.6667,0.6667,11.74,3.3152,1,-3.32,-0.032
Ohio University,237,2,no,no,0.7237,B/C,0.2636,0.5,0.5,8.755,3.9557,2,8.755,0.2636
The Kitchens Group,664,1,no,no,0.7247,B/C,0.1946,0,1,11.38,6.1869,1,11.38,0.1946
Neighbor,226,1,no,no,0.7255,B/C,-0.1427,1,1,17.09,11.6097,1,-17.09,-0.1427
Lester & Associates,293,1,no,no,0.727,B/C,,1,1,18.93,4.9955,0,,
Rainmaker Media Group,276,1,no,no,0.7288,B/C,0.2072,1,1,12.12,6.4263,1,12.12,0.2072
Cometrends,631,1,no,no,0.7291,B/C,0.3008,1,1,7.54,3.3915,1,7.54,0.3008
Lauer Johnson Research,167,1,no,no,0.7318,B/C,0.2049,0,1,13.82,7.4449,1,13.82,0.2049
brilliant corners Research & Strategies,564,1,no,no,0.7324,B/C,0.49,0,1,12.28,3.4758,1,12.28,0.49
Gonzales Research & Marketing Strategies Inc.,121,10,no,no,0.7332,B/C,-0.5109,0.8,0.4,6.568,1.4104,9,-2.8011,-0.5109
Consumer Logic,59,2,no,no,0.7333,B/C,0.2317,0.5,0.5,10.21,4.7229,2,10.21,0.2317
Gazette Communications,640,2,no,no,0.735,B/C,0.1774,1,0.5,8.06,4.1263,2,8.06,0.1774
University of Colorado (Boulder),580,2,no,no,0.7364,B/C,0.3931,1,0.5,6.715,2.7875,2,6.715,0.3931
Morning Consult,218,114,no,no,0.738,C+,3.3696,0.6316,0.5439,4.4194,0.8426,114,3.9922,3.3696
Overtime Politics,247,12,no,yes,0.7386,F,,0.6667,0.4167,9.7983,1.4748,0,,
St. Cloud State University,312,17,no,no,0.7407,B/C,1.5348,0.7647,0.4118,6.8441,1.4012,16,4.4537,1.5348
University of Texas at Tyler,458,10,no,no,0.7413,B/C,0.7693,0.8,0.6,7.237,1.361,7,3.1686,0.7693
Minnesota State University,211,4,no,no,0.7427,B/C,0.353,1,0.75,9.205,3.2231,4,7.135,0.353
Change Research,48,115,yes,no,0.7441,C+,2.6815,0.7478,0.3391,6.2983,0.8042,105,3.337,2.6815
Y2 Analytics,389,8,no,no,0.7468,B/C,1.0822,1,0.5,8.0463,1.2361,7,5.09,1.0822
Data West Polling,74,2,no,no,0.7484,B/C,0.2883,0.5,1,13.095,6.1281,2,13.095,0.2883
Univision/Latino Decisions/North Star Opinion Research,516,7,no,no,0.749,B/C,1.0565,0.7143,0.2857,6.07,0.7235,6,5.2933,1.0565
WCIA-TV,373,2,no,no,0.7508,B/C,-0.3024,1,1,18.26,7.9293,2,-18.26,-0.3024
Datamar Analytics,75,8,no,no,0.753,B/C,-0.2077,0.6875,0.375,6.2912,2.0723,5,-2.774,-0.2077
New Frontier Strategy,229,2,no,no,0.7547,B/C,,0.5,1,14.05,3.7345,0,,
University of Alabama at Birmingham,344,2,no,no,0.7551,B/C,-0.2642,1,1,12,6.4336,2,-12,-0.2642
Nelson Research,703,1,no,no,0.7563,B/C,-0.2898,0,0,6.32,2.7425,1,-6.32,-0.2898
Bold Decision,686,1,no,no,0.7584,B/C,0.3943,1,1,8.6,3.7343,1,8.6,0.3943
VCreek/AMG,501,1,no,no,0.7598,B/C,0.3136,1,1,7.86,1.6145,1,7.86,0.3136
Digital Research,64,21,no,no,0.7602,B/C,0.0957,0.9048,0.381,8.1748,1.518,19,0.3537,0.0957
Hickman Analytics,415,1,no,no,0.7639,B/C,0.3379,0,1,9.08,4.4936,1,9.08,0.3379
Hunt Research,870,1,no,no,0.764,B/C,0.3974,1,1,7.55,0.9703,1,7.55,0.3974
EMC Research,130,15,no,no,0.7653,B/C,1.1126,0.6333,0.2667,6.2193,1.3431,13,5.1715,1.1126
Saguaro Strategies,298,2,no,no,0.7719,B/C,0.2956,0,1,5.05,2.502,2,5.05,0.2956
Open Model Project,629,2,no,no,0.7744,B/C,-0.4336,0,1,5.65,2.8832,2,-5.65,-0.4336
ConsultorÃ­a AcadÃ©mica e InvestigaciÃ³n Social LLC,885,2,no,no,0.7744,B/C,,0.5,0.5,9,2.4697,0,,
RMS Research,273,3,no,no,0.7745,B/C,0.253,1,0.3333,11.1233,5.23,3,8.0633,0.253
East Tennessee State University,456,2,no,no,0.7784,B/C,0.664,0.75,1,9.9,3.2003,2,9.9,0.664
Colby College,593,6,no,no,0.7803,B/C,1.585,0.6667,0.5,8.3083,1.818,6,7.9417,1.585
Victory Insights,673,9,no,no,0.7805,B/C,0.9605,1,0.2222,6.1944,0.4416,9,2.9633,0.9605
Opinium,559,2,no,no,0.7963,B/C,0.5564,1,1,7.25,3.1696,2,7.25,0.5564
Thomas Partners Strategies/Optimus,758,2,no,no,0.7976,B/C,-0.7344,1,1,10.95,3.486,2,-10.95,-0.7344
SSRS,297,47,yes,no,0.7978,C+,2.7768,0.617,0.2766,5.1821,0.9313,45,4.1156,2.7768
Zia Poll,393,4,no,no,0.7981,B/C,-0.6469,0.75,0.5,5.36,2.4317,4,-5.36,-0.6469
Global Marketing Research Services,621,1,no,no,0.7982,B/C,0.3806,1,1,9.54,5.1239,1,9.54,0.3806
Capital Survey Research Center,44,13,no,no,0.8017,B/C,0.0231,0.3462,0.6154,9.7369,1.956,4,0.6,0.0231
The Justice Collaborative Institute,630,2,no,no,0.818,B/C,0.5122,1,0.5,6.675,3.4099,2,6.675,0.5122
Baydoun Consulting,25,6,no,no,0.823,B/C,-0.7462,0.8333,0.6667,6.845,2.6162,4,-8.7675,-0.7462
Arizona State University,15,8,no,no,0.8301,B/C,0.4264,1,0.5,8.2275,2.3732,6,5.8333,0.4264
Bluegrass Community and Technical College,632,2,no,no,0.8322,B/C,0.8391,1,0.5,10.935,0.4984,2,10.935,0.8391
Marketing Resource Group (MRG),193,10,no,no,0.835,B/C,0.2524,0.3,0.7,9.831,1.4289,6,1.7,0.2524
